time(sec)	tx/rx	C/S	NodeID	IP[src]	IP[dst]	PktSize(bytes)
18.36	tx	C	8	:::49153	6001:db80::200:ff:fe00:7:50001	150	
18.4489	rx	S	3	7777:f00e:0:1::8:49153	:::50001	150	
18.4489	tx	S	3	:::50001	7777:f00e:0:1::8:49153	150	
18.5069	rx	C	8	6001:db80::200:ff:fe00:7:50001	:::49153	150	
18.86	tx	C	8	:::49153	6001:db80::200:ff:fe00:7:50001	150	
18.9179	rx	S	3	7777:f00e:0:1::8:49153	:::50001	150	
18.9179	tx	S	3	:::50001	7777:f00e:0:1::8:49153	150	
18.9849	rx	C	8	6001:db80::200:ff:fe00:7:50001	:::49153	150	
19.36	tx	C	8	:::49153	6001:db80::200:ff:fe00:7:50001	150	
19.4499	rx	S	3	7777:f00e:0:1::8:49153	:::50001	150	
19.4499	tx	S	3	:::50001	7777:f00e:0:1::8:49153	150	
19.5049	rx	C	8	6001:db80::200:ff:fe00:7:50001	:::49153	150	
19.86	tx	C	8	:::49153	6001:db80::200:ff:fe00:7:50001	150	
19.9149	rx	S	3	7777:f00e:0:1::8:49153	:::50001	150	
19.9149	tx	S	3	:::50001	7777:f00e:0:1::8:49153	150	
19.9769	rx	C	8	6001:db80::200:ff:fe00:7:50001	:::49153	150	
20.36	tx	C	8	:::49153	6001:db80::200:ff:fe00:7:50001	150	
20.4469	rx	S	3	7777:f00e:0:1::8:49153	:::50001	150	
20.4469	tx	S	3	:::50001	7777:f00e:0:1::8:49153	150	
20.4929	rx	C	8	6001:db80::200:ff:fe00:7:50001	:::49153	150	
20.86	tx	C	8	:::49153	6001:db80::200:ff:fe00:7:50001	150	
20.9349	rx	S	3	7777:f00e:0:1::8:49153	:::50001	150	
20.9349	tx	S	3	:::50001	7777:f00e:0:1::8:49153	150	
20.9729	rx	C	8	6001:db80::200:ff:fe00:7:50001	:::49153	150	
21.36	tx	C	8	:::49153	6001:db80::200:ff:fe00:7:50001	150	
21.4499	rx	S	3	7777:f00e:0:1::8:49153	:::50001	150	
21.4499	tx	S	3	:::50001	7777:f00e:0:1::8:49153	150	
21.4929	rx	C	8	6001:db80::200:ff:fe00:7:50001	:::49153	150	
21.86	tx	C	8	:::49153	6001:db80::200:ff:fe00:7:50001	150	
21.9129	rx	S	3	7777:f00e:0:1::8:49153	:::50001	150	
21.9129	tx	S	3	:::50001	7777:f00e:0:1::8:49153	150	
21.9879	rx	C	8	6001:db80::200:ff:fe00:7:50001	:::49153	150	
22.36	tx	C	8	:::49153	6001:db80::200:ff:fe00:7:50001	150	
22.4369	rx	S	3	7777:f00e:0:1::8:49153	:::50001	150	
22.4369	tx	S	3	:::50001	7777:f00e:0:1::8:49153	150	
22.4969	rx	C	8	6001:db80::200:ff:fe00:7:50001	:::49153	150	
22.86	tx	C	8	:::49153	6001:db80::200:ff:fe00:7:50001	150	
22.9319	rx	S	3	7777:f00e:0:1::8:49153	:::50001	150	
22.9319	tx	S	3	:::50001	7777:f00e:0:1::8:49153	150	
22.9899	rx	C	8	6001:db80::200:ff:fe00:7:50001	:::49153	150	
